annee_mise_en_service,departement,nb_borne,TMJA,ratio_borne_TMJA,ratio_TMJA_borne
2020,Indre-et-Loire,15,22362.53846153846,0.0006707646372883222,1490.8358974358973
2020,Isère,314,36819.48387096774,0.008528093470848184,117.25950277378261
2020,Jura,10,11986.0,0.0008343066911396629,1198.6
2020,Landes,167,21435.91304347826,0.007790664184038976,128.3587607393908
2020,Loir-et-Cher,30,16305.96,0.0018398180787883695,543.5319999999999
2020,Loire,257,35487.530303030304,0.007241980431026349,138.0837754981724
2020,Loire-Atlantique,9,57221.28767123288,0.00015728412215589848,6357.920852359209
2020,Loiret,31,21702.82608695652,0.0014283854036240523,700.0911640953716
2020,Lot-et-Garonne,47,9466.125,0.004965072825469767,201.40691489361703
2020,Lozère,14,6040.257142857143,0.002317782119020477,431.4469387755102
2020,Maine-et-Loire,1,35169.694444444445,2.8433570885287127e-05,35169.694444444445
2020,Manche,16,21190.20588235294,0.0007550658114806091,1324.3878676470588
2020,Marne,93,19169.866666666665,0.004851363946193332,206.12759856630822
2020,Mayenne,20,11760.806451612903,0.0017005636545661506,588.0403225806451
2020,Meurthe-et-Moselle,57,49185.69230769231,0.0011588735936341713,862.9068825910932
2020,Meuse,2,12053.111111111111,0.00016593226276295653,6026.555555555556
2020,Morbihan,13,45163.125,0.0002878454491357717,3474.0865384615386
2020,Moselle,73,42402.01612903226,0.001721616249988113,580.8495360141405
2020,Nord,379,21715.75,0.01745277045462395,57.297493403693935
2020,Oise,18,42310.0,0.00042543134010872134,2350.5555555555557
2020,Orne,3,8071.846153846154,0.00037166218766081536,2690.6153846153848
2020,Paris,256,41672.0,0.006143213668650413,162.78125
2020,Pas-de-Calais,119,23824.03448275862,0.004994955832779705,200.20197044334975
2020,Puy-de-Dôme,27,36121.833333333336,0.0007474703664911803,1337.8456790123457
2020,Pyrénées-Atlantiques,114,14849.17543859649,0.007677193960796453,130.25592489996922
2020,Pyrénées-Orientales,28,7136.590361445783,0.0039234422296766875,254.87822719449224
2020,Rhône,233,42225.58260869565,0.005517981886933575,181.2256764321702
2020,Sarthe,26,20683.05,0.0012570679856210762,795.501923076923
2020,Savoie,140,34718.017857142855,0.004032488276723336,247.9858418367347
2020,Seine-Maritime,30,25435.714285714286,0.0011794439764111204,847.8571428571429
2020,Seine-Saint-Denis,5,136675.44,3.658301740239505e-05,27335.088
2020,Seine-et-Marne,42,43747.33707865168,0.0009600584356595188,1041.603263777421
2020,Somme,9,23103.166666666668,0.0003895569871374054,2567.0185185185187
2020,Tarn,14,18561.75,0.0007542392285210177,1325.8392857142858
