departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Marne,2021,5555,10,560936,59,192,28.93,0.03
Marne,2022,8368,11,566718,115,307,27.26,0.04
Marne,2023,12128,19,572827,245,552,21.97,0.05
Marne,2024,14948,29,577248,716,1268,11.79,0.08
Mayenne,2020,1472,6,292081,20,32,46.0,0.02
Mayenne,2021,2356,4,291587,25,57,41.33,0.02
Mayenne,2022,2833,8,260858,53,110,25.75,0.04
Mayenne,2023,5159,14,310065,59,169,30.53,0.03
Mayenne,2024,5058,10,257625,330,499,10.14,0.1
Meurthe-et-Moselle,2020,3422,27,698450,57,91,37.6,0.03
Meurthe-et-Moselle,2021,6168,32,699973,49,140,44.06,0.02
Meurthe-et-Moselle,2022,9231,37,702646,175,315,29.3,0.03
Meurthe-et-Moselle,2023,13672,39,719280,375,690,19.81,0.05
Meurthe-et-Moselle,2024,17792,52,721933,723,1413,12.59,0.08
Meuse,2020,700,7,200211,2,76,9.21,0.11
Meuse,2021,1030,5,186714,15,91,11.32,0.09
Meuse,2022,1772,6,206031,64,155,11.43,0.09
Meuse,2023,2281,7,194070,35,190,12.01,0.08
Meuse,2024,2966,6,195076,84,274,10.82,0.09
Morbihan,2020,3841,48,771656,13,448,8.57,0.12
Morbihan,2021,6638,62,791584,37,485,13.69,0.07
Morbihan,2022,9702,72,793489,154,639,15.18,0.07
Morbihan,2023,13781,79,810327,189,828,16.64,0.06
Morbihan,2024,17984,85,820586,935,1763,10.2,0.1
Moselle,2020,4872,61,1112180,73,85,57.32,0.02
Moselle,2021,9256,64,1130048,36,121,76.5,0.01
Moselle,2022,13971,66,1134582,307,428,32.64,0.03
Moselle,2023,20849,66,1154517,744,1172,17.79,0.06
Moselle,2024,27312,63,1176733,1396,2568,10.64,0.09
Nièvre,2022,1745,40,223087,30,30,58.17,0.02
Nièvre,2023,2399,36,228327,73,103,23.29,0.04
Nièvre,2024,3011,35,230094,271,374,8.05,0.12
Nord,2020,13314,218,2481726,379,609,21.86,0.05
Nord,2021,23787,227,2515683,514,1123,21.18,0.05
Nord,2022,35642,223,2555317,951,2074,17.19,0.06
Nord,2023,52283,224,2583964,1206,3280,15.94,0.06
Nord,2024,70272,230,2634578,1786,5066,13.87,0.07
Oise,2020,6220,40,1112294,18,34,182.94,0.01
Oise,2021,13558,41,1137194,74,108,125.54,0.01
Oise,2022,18645,39,1153743,126,234,79.68,0.01
